time,enrolled,available,waitlisted,total
2023-08-01T10:22:56,0,50,0,50
2023-08-01T10:35:33,0,50,0,50
2023-08-01T10:48:08,0,50,0,50
2023-08-01T11:00:43,0,50,0,50
2023-08-01T11:13:19,0,50,0,50
2023-08-01T11:26:04,0,50,0,50
2023-08-01T11:38:40,0,50,0,50
2023-08-01T11:51:14,0,50,0,50
2023-08-01T12:03:49,0,50,0,50
2023-08-01T12:16:23,0,50,0,50
2023-08-01T12:28:57,0,50,0,50
2023-08-01T12:41:32,0,50,0,50
2023-08-01T12:54:06,0,50,0,50
2023-08-01T13:06:47,0,50,0,50
2023-08-01T13:19:31,0,50,0,50
2023-08-01T13:32:06,0,50,0,50
2023-08-01T13:44:40,0,50,0,50
2023-08-01T13:57:14,0,50,0,50
2023-08-01T14:09:49,0,50,0,50
2023-08-01T14:22:23,0,50,0,50
2023-08-01T14:34:59,0,50,0,50
2023-08-01T14:47:34,0,50,0,50
2023-08-01T15:00:09,0,50,0,50
2023-08-01T15:12:43,0,50,0,50
2023-08-01T15:25:17,0,50,0,50
2023-08-01T15:38:02,0,50,0,50
2023-08-01T15:50:36,0,50,0,50
2023-08-01T16:03:10,0,50,0,50
2023-08-01T16:15:45,0,50,0,50
2023-08-01T16:28:19,0,50,0,50
2023-08-01T16:40:54,0,50,0,50
2023-08-01T16:53:28,0,50,0,50
2023-08-01T17:06:03,0,50,0,50
2023-08-01T17:18:40,0,50,0,50
2023-08-01T17:31:15,0,50,0,50
2023-08-01T17:43:50,0,50,0,50
2023-08-01T17:56:34,0,50,0,50
2023-08-01T18:09:09,0,50,0,50
2023-08-01T18:21:43,0,50,0,50
2023-08-01T18:34:18,0,50,0,50
2023-08-01T18:46:52,0,50,0,50
2023-08-01T18:59:27,0,50,0,50
2023-08-01T19:12:02,0,50,0,50
2023-08-01T19:24:36,0,50,0,50
2023-08-01T19:37:11,0,50,0,50
2023-08-01T19:49:45,0,50,0,50
2023-08-01T20:02:19,0,50,0,50
2023-08-01T20:14:56,0,50,0,50
2023-08-01T20:27:31,0,50,0,50
2023-08-01T20:40:15,0,50,0,50
2023-08-01T20:52:50,0,50,0,50
2023-08-01T21:05:24,0,50,0,50
2023-08-01T21:17:58,0,50,0,50
2023-08-01T21:30:33,0,50,0,50
2023-08-01T21:43:09,0,50,0,50
2023-08-01T21:55:43,0,50,0,50
2023-08-01T22:08:17,0,50,0,50
2023-08-01T22:20:52,0,50,0,50
2023-08-01T22:33:27,0,50,0,50
2023-08-01T22:46:01,0,50,0,50
2023-08-01T22:58:35,0,50,0,50
2023-08-01T23:11:12,0,50,0,50
2023-08-01T23:23:57,0,50,0,50
2023-08-01T23:36:33,0,50,0,50
2023-08-01T23:49:07,0,50,0,50
2023-08-02T00:01:42,0,50,0,50
2023-08-02T00:14:20,0,50,0,50
2023-08-02T00:26:59,0,50,0,50
2023-08-02T00:39:37,0,50,0,50
2023-08-02T00:52:15,0,50,0,50
2023-08-02T01:04:54,0,50,0,50
2023-08-02T01:17:32,0,50,0,50
2023-08-02T01:30:10,0,50,0,50
2023-08-02T01:42:50,0,50,0,50
2023-08-02T01:55:31,0,50,0,50
2023-08-02T02:08:10,0,50,0,50
2023-08-02T02:20:47,0,50,0,50
2023-08-02T02:33:25,0,50,0,50
2023-08-02T02:46:01,0,50,0,50
2023-08-02T02:58:39,0,50,0,50
2023-08-02T03:11:17,0,50,0,50
2023-08-02T03:23:55,0,50,0,50
2023-08-02T03:36:33,0,50,0,50
2023-08-02T03:49:12,0,50,0,50
2023-08-02T04:01:59,0,50,0,50
2023-08-02T04:26:57,0,50,0,50
2023-08-02T04:39:36,0,50,0,50
2023-08-02T04:52:33,0,50,0,50
2023-08-02T05:05:12,0,50,0,50
2023-08-02T05:18:12,0,50,0,50
2023-08-02T05:30:49,0,50,0,50
2023-08-02T05:43:27,0,50,0,50
2023-08-02T05:56:03,0,50,0,50
2023-08-02T06:08:41,0,50,0,50
2023-08-02T06:21:19,0,50,0,50
2023-08-02T06:33:57,0,50,0,50
2023-08-02T06:46:35,0,50,0,50
2023-08-02T06:59:14,0,50,0,50
2023-08-02T07:12:01,0,50,0,50
2023-08-02T07:24:39,0,50,0,50
2023-08-02T07:37:16,0,50,0,50
2023-08-02T07:49:55,0,50,0,50
2023-08-02T08:02:34,0,50,0,50
2023-08-02T08:15:10,0,50,0,50
2023-08-02T08:27:47,0,50,0,50
2023-08-02T08:40:25,0,50,0,50
2023-08-02T08:53:03,0,50,0,50
2023-08-02T09:05:40,0,50,0,50
2023-08-02T09:18:16,0,50,0,50
2023-08-02T09:30:54,0,50,0,50
2023-08-02T09:43:31,0,50,0,50
2023-08-02T09:56:22,0,50,0,50
2023-08-02T10:08:59,0,50,0,50
2023-08-02T10:21:34,0,50,0,50
2023-08-02T10:34:10,0,50,0,50
2023-08-02T10:46:45,0,50,0,50
2023-08-02T10:59:20,0,50,0,50
2023-08-02T11:11:56,0,50,0,50
2023-08-02T11:24:48,0,50,0,50
2023-08-02T11:37:23,0,50,0,50
2023-08-02T11:49:59,0,50,0,50
2023-08-02T12:02:34,0,50,0,50
2023-08-02T12:15:10,0,50,0,50
2023-08-02T12:27:45,0,50,0,50
2023-08-02T12:40:21,0,50,0,50
2023-08-02T12:53:05,0,50,0,50
2023-08-02T13:05:41,0,50,0,50
2023-08-02T13:18:16,0,50,0,50
2023-08-02T13:30:52,0,50,0,50
2023-08-02T13:43:28,0,50,0,50
2023-08-02T13:56:03,0,50,0,50
2023-08-02T14:08:39,0,50,0,50
2023-08-02T14:21:40,0,50,0,50
2023-08-02T14:34:15,0,50,0,50
2023-08-02T14:46:50,0,50,0,50
2023-08-02T14:59:26,0,50,0,50
2023-08-02T15:12:02,0,50,0,50
2023-08-02T15:24:38,0,50,0,50
2023-08-02T15:37:15,0,50,0,50
2023-08-02T15:49:50,0,50,0,50
2023-08-02T16:02:34,0,50,0,50
2023-08-02T16:15:09,0,50,0,50
2023-08-02T16:27:46,0,50,0,50
2023-08-02T16:40:21,0,50,0,50
2023-08-02T16:52:57,0,50,0,50
2023-08-02T17:05:32,0,50,0,50
2023-08-02T17:18:08,0,50,0,50
2023-08-02T17:30:44,0,50,0,50
2023-08-02T17:43:19,0,50,0,50
2023-08-02T17:56:04,0,50,0,50
2023-08-02T18:08:40,0,50,0,50
2023-08-02T18:21:16,0,50,0,50
2023-08-02T18:33:51,0,50,0,50
2023-08-02T18:46:26,0,50,0,50
2023-08-02T18:59:01,0,50,0,50
2023-08-02T19:11:37,0,50,0,50
2023-08-02T19:24:23,0,50,0,50
2023-08-02T19:36:58,0,50,0,50
2023-08-02T19:49:33,0,50,0,50
2023-08-02T20:02:09,0,50,0,50
2023-08-02T20:14:44,0,50,0,50
2023-08-02T20:27:19,0,50,0,50
2023-08-02T20:39:54,0,50,0,50
2023-08-02T20:52:29,0,50,0,50
2023-08-02T21:05:04,0,50,0,50
2023-08-02T21:17:50,0,50,0,50
