time,enrolled,available,waitlisted,total
2023-08-22T10:16:34,0,15,0,15
2023-08-22T10:29:19,0,15,0,15
2023-08-22T10:42:02,0,15,0,15
2023-08-22T10:54:46,0,15,0,15
2023-08-22T11:07:29,0,15,0,15
2023-08-22T11:20:23,0,15,0,15
2023-08-22T11:33:07,0,15,0,15
2023-08-22T11:45:50,0,15,0,15
2023-08-22T11:58:34,0,15,0,15
2023-08-22T12:11:17,0,15,0,15
2023-08-22T12:24:01,0,15,0,15
2023-08-22T12:36:46,0,15,0,15
2023-08-22T12:49:41,0,15,0,15
2023-08-22T13:02:24,0,15,0,15
2023-08-22T13:15:07,0,15,0,15
2023-08-22T13:27:50,0,15,0,15
2023-08-22T13:40:36,0,15,0,15
2023-08-22T13:53:19,0,15,0,15
2023-08-22T14:06:03,0,15,0,15
2023-08-22T14:18:58,0,15,0,15
2023-08-22T14:31:42,0,15,0,15
2023-08-22T14:44:25,0,15,0,15
2023-08-22T14:57:09,0,15,0,15
2023-08-22T15:09:53,0,15,0,15
2023-08-22T15:22:38,0,15,0,15
2023-08-22T15:35:21,0,15,0,15
2023-08-22T15:48:13,0,15,0,15
2023-08-22T16:00:57,0,15,0,15
2023-08-22T16:13:40,0,15,0,15
2023-08-22T16:26:24,0,15,0,15
2023-08-22T16:39:06,0,15,0,15
2023-08-22T16:51:50,0,15,0,15
2023-08-22T17:04:36,0,15,0,15
2023-08-22T17:17:21,0,15,0,15
2023-08-22T17:30:16,0,15,0,15
2023-08-22T17:42:59,0,15,0,15
2023-08-22T17:55:43,0,15,0,15
2023-08-22T18:08:26,0,15,0,15
2023-08-22T18:21:09,0,15,0,15
2023-08-22T18:33:53,0,15,0,15
2023-08-22T18:46:36,0,15,0,15
2023-08-22T18:59:20,0,15,0,15
2023-08-22T19:12:06,0,15,0,15
2023-08-22T19:24:49,0,15,0,15
2023-08-22T19:37:43,0,15,0,15
2023-08-22T19:50:26,0,15,0,15
2023-08-22T20:03:09,0,15,0,15
2023-08-22T20:15:52,0,15,0,15
2023-08-22T20:28:36,0,15,0,15
2023-08-22T20:41:19,0,15,0,15
2023-08-22T20:54:02,0,15,0,15
2023-08-22T21:06:56,0,15,0,15
2023-08-22T21:19:40,0,15,0,15
2023-08-22T21:32:23,0,15,0,15
2023-08-22T21:45:07,0,15,0,15
2023-08-22T21:57:50,0,15,0,15
2023-08-22T22:10:33,0,15,0,15
2023-08-22T22:23:17,0,15,0,15
2023-08-22T22:36:01,0,15,0,15
2023-08-22T22:48:43,0,15,0,15
2023-08-22T23:01:38,0,15,0,15
2023-08-22T23:14:24,0,15,0,15
2023-08-22T23:27:08,0,15,0,15
2023-08-22T23:39:52,0,15,0,15
2023-08-22T23:52:35,0,15,0,15
2023-08-23T00:05:20,0,15,0,15
2023-08-23T00:18:05,0,15,0,15
2023-08-23T00:30:51,0,15,0,15
2023-08-23T00:43:40,0,15,0,15
2023-08-23T00:56:26,0,15,0,15
2023-08-23T01:09:14,0,15,0,15
2023-08-23T01:22:08,0,15,0,15
2023-08-23T01:34:56,0,15,0,15
2023-08-23T01:47:43,0,15,0,15
2023-08-23T02:00:30,0,15,0,15
2023-08-23T02:13:26,0,15,0,15
2023-08-23T02:26:11,0,15,0,15
2023-08-23T02:39:06,0,15,0,15
2023-08-23T02:51:53,0,15,0,15
2023-08-23T03:04:46,0,15,0,15
2023-08-23T03:17:44,0,15,0,15
2023-08-23T03:30:30,0,15,0,15
2023-08-23T03:43:28,0,15,0,15
2023-08-23T03:56:15,0,15,0,15
2023-08-23T04:09:02,0,15,0,15
2023-08-23T04:34:21,0,15,0,15
2023-08-23T04:48:28,0,15,0,15
2023-08-23T05:01:36,0,15,0,15
2023-08-23T05:14:27,0,15,0,15
2023-08-23T05:27:16,0,15,0,15
2023-08-23T05:40:10,0,15,0,15
2023-08-23T05:52:58,0,15,0,15
2023-08-23T06:05:44,0,15,0,15
2023-08-23T06:18:40,0,15,0,15
2023-08-23T06:31:26,0,15,0,15
2023-08-23T06:44:14,0,15,0,15
2023-08-23T06:57:00,0,15,0,15
2023-08-23T07:09:55,0,15,0,15
2023-08-23T07:22:39,0,15,0,15
2023-08-23T07:35:23,0,15,0,15
2023-08-23T07:48:08,0,15,0,15
2023-08-23T08:00:51,0,15,0,15
2023-08-23T08:13:33,0,15,0,15
2023-08-23T08:26:17,0,15,0,15
2023-08-23T08:39:01,0,15,0,15
2023-08-23T08:51:54,0,15,0,15
2023-08-23T09:04:39,0,15,0,15
2023-08-23T09:17:22,0,15,0,15
2023-08-23T09:30:06,0,15,0,15
2023-08-23T09:42:50,0,15,0,15
2023-08-23T09:55:33,0,15,0,15
2023-08-23T10:08:16,0,15,0,15
2023-08-23T10:20:59,0,15,0,15
2023-08-23T10:33:43,0,15,0,15
2023-08-23T10:46:26,0,15,0,15
2023-08-23T10:59:09,0,15,0,15
2023-08-23T11:12:04,0,15,0,15
2023-08-23T11:24:48,0,15,0,15
2023-08-23T11:37:40,0,15,0,15
2023-08-23T11:50:24,0,15,0,15
2023-08-23T12:03:08,0,15,0,15
2023-08-23T12:15:52,0,15,0,15
2023-08-23T12:28:36,0,15,0,15
2023-08-23T12:41:23,0,15,0,15
2023-08-23T12:54:18,0,15,0,15
2023-08-23T13:07:02,0,15,0,15
2023-08-23T13:19:46,0,15,0,15
2023-08-23T13:32:29,0,15,0,15
2023-08-23T13:45:13,0,15,0,15
2023-08-23T13:57:57,0,15,0,15
2023-08-23T14:10:42,0,15,0,15
2023-08-23T14:23:26,0,15,0,15
2023-08-23T14:36:20,0,15,0,15
2023-08-23T14:49:04,0,15,0,15
2023-08-23T15:01:48,0,15,0,15
2023-08-23T15:14:33,0,15,0,15
2023-08-23T15:27:17,0,15,0,15
2023-08-23T15:40:02,0,15,0,15
2023-08-23T15:52:46,0,15,0,15
2023-08-23T16:05:30,0,15,0,15
2023-08-23T16:18:14,0,15,0,15
2023-08-23T16:31:11,0,15,0,15
2023-08-23T16:43:56,0,15,0,15
2023-08-23T16:56:40,0,15,0,15
2023-08-23T17:09:24,0,15,0,15
2023-08-23T17:22:09,0,15,0,15
2023-08-23T17:34:53,0,15,0,15
2023-08-23T17:47:37,0,15,0,15
2023-08-23T18:00:21,0,15,0,15
2023-08-23T18:13:06,0,15,0,15
2023-08-23T18:26:00,0,15,0,15
2023-08-23T18:38:44,0,15,0,15
2023-08-23T18:51:27,0,15,0,15
2023-08-23T19:04:12,0,15,0,15
2023-08-23T19:16:56,0,15,0,15
2023-08-23T19:29:40,0,15,0,15
2023-08-23T19:42:24,0,15,0,15
2023-08-23T19:55:07,0,15,0,15
2023-08-23T20:07:52,0,15,0,15
2023-08-23T20:20:45,0,15,0,15
2023-08-23T20:33:29,0,15,0,15
2023-08-23T20:46:12,0,15,0,15
2023-08-23T20:58:56,0,15,0,15
2023-08-23T21:11:41,0,15,0,15
2023-08-23T21:24:25,0,15,0,15
2023-08-23T21:37:09,0,15,0,15
2023-08-23T21:49:52,0,15,0,15
2023-08-23T22:02:36,0,15,0,15
2023-08-23T22:15:21,0,15,0,15
2023-08-23T22:28:15,0,15,0,15
2023-08-23T22:40:58,0,15,0,15
2023-08-23T22:53:41,0,15,0,15
2023-08-23T23:06:27,0,15,0,15
2023-08-23T23:19:15,0,15,0,15
2023-08-23T23:32:00,0,15,0,15
2023-08-23T23:44:45,0,15,0,15
2023-08-23T23:57:31,0,15,0,15
2023-08-24T00:10:17,0,15,0,15
2023-08-24T00:23:08,0,15,0,15
2023-08-24T00:35:56,0,15,0,15
2023-08-24T00:48:44,0,15,0,15
2023-08-24T01:01:34,0,15,0,15
2023-08-24T01:14:22,0,15,0,15
2023-08-24T01:27:09,0,15,0,15
2023-08-24T01:40:09,0,15,0,15
2023-08-24T01:52:57,0,15,0,15
2023-08-24T02:05:45,0,15,0,15
2023-08-24T02:18:30,0,15,0,15
2023-08-24T02:31:17,0,15,0,15
2023-08-24T02:44:03,0,15,0,15
2023-08-24T02:56:51,0,15,0,15
2023-08-24T03:09:49,0,15,0,15
2023-08-24T03:22:38,0,15,0,15
2023-08-24T03:35:26,0,15,0,15
2023-08-24T03:48:14,0,15,0,15
2023-08-24T04:01:02,0,15,0,15
2023-08-24T04:31:54,0,15,0,15
2023-08-24T04:45:01,0,15,0,15
2023-08-24T04:57:50,0,15,0,15
2023-08-24T05:10:40,0,15,0,15
2023-08-24T05:23:29,0,15,0,15
2023-08-24T05:36:18,0,15,0,15
2023-08-24T05:49:06,0,15,0,15
2023-08-24T06:01:55,0,15,0,15
2023-08-24T06:14:42,0,15,0,15
2023-08-24T06:27:29,0,15,0,15
2023-08-24T06:40:16,0,15,0,15
2023-08-24T06:53:04,0,15,0,15
2023-08-24T07:05:52,0,15,0,15
2023-08-24T07:18:37,0,15,0,15
2023-08-24T07:31:22,0,15,0,15
2023-08-24T07:44:05,0,15,0,15
2023-08-24T07:56:48,0,15,0,15
2023-08-24T08:09:32,0,15,0,15
2023-08-24T08:22:17,0,15,0,15
2023-08-24T08:35:02,0,15,0,15
2023-08-24T08:47:46,0,15,0,15
2023-08-24T09:00:39,0,15,0,15
2023-08-24T09:13:23,0,15,0,15
2023-08-24T09:26:07,0,15,0,15
2023-08-24T09:39:00,0,15,0,15
2023-08-24T09:51:45,0,15,0,15
2023-08-24T10:04:38,0,15,0,15
2023-08-24T10:17:23,0,15,0,15
2023-08-24T10:30:16,0,15,0,15
2023-08-24T10:43:08,0,15,0,15
2023-08-24T10:55:52,0,15,0,15
2023-08-24T11:08:45,0,15,0,15
2023-08-24T11:21:30,0,15,0,15
2023-08-24T11:34:24,0,15,0,15
2023-08-24T11:47:19,0,15,0,15
2023-08-24T12:00:16,0,15,0,15
2023-08-24T12:13:00,0,15,0,15
2023-08-24T12:25:54,0,15,0,15
2023-08-24T12:38:38,0,15,0,15
2023-08-24T12:51:31,0,15,0,15
2023-08-24T13:04:25,0,15,0,15
2023-08-24T13:17:09,0,15,0,15
2023-08-24T13:30:04,0,15,0,15
2023-08-24T13:42:48,0,15,0,15
2023-08-24T13:55:42,0,15,0,15
2023-08-24T14:08:27,0,15,0,15
2023-08-24T14:21:20,0,15,0,15
2023-08-24T14:34:13,0,15,0,15
2023-08-24T14:46:58,0,15,0,15
2023-08-24T14:59:53,0,15,0,15
2023-08-24T15:12:37,0,15,0,15
2023-08-24T15:25:31,0,15,0,15
2023-08-24T15:38:15,0,15,0,15
2023-08-24T15:51:00,0,15,0,15
2023-08-24T16:03:45,0,15,0,15
2023-08-24T16:16:39,0,15,0,15
2023-08-24T16:29:24,0,15,0,15
2023-08-24T16:42:07,0,15,0,15
2023-08-24T16:54:51,0,15,0,15
2023-08-24T17:07:37,0,15,0,15
2023-08-24T17:20:22,0,15,0,15
2023-08-24T17:33:06,0,15,0,15
2023-08-24T17:45:51,0,15,0,15
2023-08-24T17:58:45,0,15,0,15
2023-08-24T18:11:30,0,15,0,15
2023-08-24T18:24:14,0,15,0,15
2023-08-24T18:36:59,0,15,0,15
2023-08-24T18:49:43,0,15,0,15
2023-08-24T19:02:30,0,15,0,15
2023-08-24T19:15:14,0,15,0,15
2023-08-24T19:27:58,0,15,0,15
2023-08-24T19:40:43,0,15,0,15
2023-08-24T19:53:40,0,15,0,15
2023-08-24T20:06:24,0,15,0,15
2023-08-24T20:19:08,0,15,0,15
2023-08-24T20:31:52,0,15,0,15
2023-08-24T20:44:37,0,15,0,15
2023-08-24T20:57:22,0,15,0,15
2023-08-24T21:10:06,0,15,0,15
2023-08-24T21:22:50,0,15,0,15
2023-08-24T21:35:35,0,15,0,15
2023-08-24T21:48:30,0,15,0,15
2023-08-24T22:01:13,0,15,0,15
2023-08-24T22:13:57,0,15,0,15
2023-08-24T22:26:55,0,15,0,15
2023-08-24T22:39:40,0,15,0,15
2023-08-24T22:52:24,0,15,0,15
2023-08-24T23:05:09,0,15,0,15
2023-08-24T23:17:56,0,15,0,15
