time,enrolled,available,waitlisted,total
2023-08-23T15:31:38,0,132,0,132
2023-08-23T15:44:22,0,200,0,200
2023-08-23T15:57:07,0,200,0,200
2023-08-23T16:09:51,0,200,0,200
2023-08-23T16:22:35,0,200,0,200
2023-08-23T16:35:32,0,200,0,200
2023-08-23T16:48:17,0,200,0,200
2023-08-23T17:01:01,0,200,0,200
2023-08-23T17:13:46,0,200,0,200
2023-08-23T17:26:30,0,200,0,200
2023-08-23T17:39:14,0,200,0,200
2023-08-23T17:51:58,0,200,0,200
2023-08-23T18:04:43,0,200,0,200
2023-08-23T18:17:27,0,200,0,200
2023-08-23T18:30:21,0,200,0,200
2023-08-23T18:43:04,0,200,0,200
2023-08-23T18:55:47,0,200,0,200
2023-08-23T19:08:33,0,200,0,200
2023-08-23T19:21:17,0,200,0,200
2023-08-23T19:34:01,0,200,0,200
2023-08-23T19:46:44,0,200,0,200
2023-08-23T19:59:28,0,200,0,200
2023-08-23T20:12:13,0,200,0,200
2023-08-23T20:25:06,0,200,0,200
2023-08-23T20:37:49,0,200,0,200
2023-08-23T20:50:33,0,200,0,200
2023-08-23T21:03:17,0,200,0,200
2023-08-23T21:16:02,0,200,0,200
2023-08-23T21:28:46,0,200,0,200
2023-08-23T21:41:29,0,200,0,200
2023-08-23T21:54:13,0,200,0,200
2023-08-23T22:06:57,0,200,0,200
2023-08-23T22:19:41,0,200,0,200
2023-08-23T22:32:35,0,200,0,200
2023-08-23T22:45:19,0,200,0,200
2023-08-23T22:58:02,0,200,0,200
2023-08-23T23:10:51,0,200,0,200
2023-08-23T23:23:36,0,200,0,200
2023-08-23T23:36:21,0,200,0,200
2023-08-23T23:49:06,0,200,0,200
2023-08-24T00:01:52,0,200,0,200
2023-08-24T00:14:41,0,200,0,200
2023-08-24T00:27:30,0,200,0,200
2023-08-24T00:40:18,0,200,0,200
2023-08-24T00:53:07,0,200,0,200
2023-08-24T01:05:56,0,200,0,200
2023-08-24T01:18:44,0,200,0,200
2023-08-24T01:31:43,0,200,0,200
2023-08-24T01:44:31,0,200,0,200
2023-08-24T01:57:19,0,200,0,200
2023-08-24T02:10:06,0,200,0,200
2023-08-24T02:22:52,0,200,0,200
2023-08-24T02:35:39,0,200,0,200
2023-08-24T02:48:25,0,200,0,200
2023-08-24T03:01:22,0,200,0,200
2023-08-24T03:14:11,0,200,0,200
2023-08-24T03:27:00,0,200,0,200
2023-08-24T03:39:49,0,200,0,200
2023-08-24T03:52:36,0,200,0,200
2023-08-24T04:05:24,0,200,0,200
2023-08-24T04:22:15,0,200,0,200
2023-08-24T04:36:17,0,200,0,200
2023-08-24T04:49:24,0,200,0,200
2023-08-24T05:02:13,0,200,0,200
2023-08-24T05:15:03,0,200,0,200
2023-08-24T05:27:52,0,200,0,200
2023-08-24T05:40:40,0,200,0,200
2023-08-24T05:53:29,0,200,0,200
2023-08-24T06:06:17,0,200,0,200
2023-08-24T06:19:04,0,200,0,200
2023-08-24T06:31:51,0,200,0,200
2023-08-24T06:44:39,0,200,0,200
2023-08-24T06:57:26,0,200,0,200
2023-08-24T07:10:13,0,200,0,200
2023-08-24T07:22:58,0,200,0,200
2023-08-24T07:35:42,0,200,0,200
2023-08-24T07:48:26,0,200,0,200
2023-08-24T08:01:09,0,200,0,200
2023-08-24T08:13:53,0,200,0,200
2023-08-24T08:26:39,0,200,0,200
2023-08-24T08:39:22,0,200,0,200
2023-08-24T08:52:06,0,200,0,200
2023-08-24T09:05:00,0,200,0,200
2023-08-24T09:17:44,0,200,0,200
2023-08-24T09:30:37,0,200,0,200
2023-08-24T09:43:21,0,200,0,200
2023-08-24T09:56:05,0,200,0,200
2023-08-24T10:08:59,0,200,0,200
2023-08-24T10:21:52,0,200,0,200
2023-08-24T10:34:36,0,200,0,200
2023-08-24T10:47:28,0,200,0,200
2023-08-24T11:00:13,0,200,0,200
2023-08-24T11:13:07,0,200,0,200
2023-08-24T11:26:00,0,200,0,200
2023-08-24T11:38:45,0,200,0,200
2023-08-24T11:51:40,0,200,0,200
2023-08-24T12:04:37,0,200,0,200
2023-08-24T12:17:31,0,200,0,200
2023-08-24T12:30:15,0,200,0,200
2023-08-24T12:43:08,0,200,0,200
2023-08-24T12:55:52,0,200,0,200
2023-08-24T13:08:46,0,200,0,200
2023-08-24T13:21:29,0,200,0,200
2023-08-24T13:34:25,0,200,0,200
2023-08-24T13:47:09,0,200,0,200
2023-08-24T14:00:03,0,200,0,200
2023-08-24T14:12:48,0,200,0,200
2023-08-24T14:25:41,0,200,0,200
2023-08-24T14:38:34,0,200,0,200
2023-08-24T14:51:29,0,200,0,200
2023-08-24T15:04:14,0,200,0,200
2023-08-24T15:16:58,0,200,0,200
2023-08-24T15:29:52,0,200,0,200
2023-08-24T15:42:36,0,200,0,200
2023-08-24T15:55:21,0,200,0,200
2023-08-24T16:08:16,0,200,0,200
2023-08-24T16:21:00,0,200,0,200
2023-08-24T16:33:45,0,200,0,200
2023-08-24T16:46:28,0,200,0,200
2023-08-24T16:59:11,0,200,0,200
2023-08-24T17:11:58,0,200,0,200
2023-08-24T17:24:43,0,200,0,200
2023-08-24T17:37:27,0,200,0,200
2023-08-24T17:50:21,0,200,0,200
2023-08-24T18:03:06,0,200,0,200
2023-08-24T18:15:51,0,200,0,200
