time,enrolled,available,waitlisted,total
2023-08-04T09:56:35,0,0,0,0
2023-08-04T10:09:13,0,80,0,80
2023-08-04T10:21:51,0,80,0,80
2023-08-04T10:34:29,0,80,0,80
2023-08-04T10:47:18,0,80,0,80
2023-08-04T10:59:55,0,80,0,80
2023-08-04T11:12:32,0,80,0,80
2023-08-04T11:25:10,0,80,0,80
2023-08-04T11:37:46,0,80,0,80
2023-08-04T11:50:22,0,80,0,80
2023-08-04T12:02:59,0,80,0,80
2023-08-04T12:15:34,0,80,0,80
2023-08-04T12:28:11,0,80,0,80
2023-08-04T12:41:07,0,80,0,80
2023-08-04T12:53:45,0,80,0,80
2023-08-04T13:06:20,0,80,0,80
2023-08-04T13:18:56,0,80,0,80
2023-08-04T13:31:32,0,80,0,80
2023-08-04T13:44:10,0,80,0,80
2023-08-04T13:56:46,0,80,0,80
2023-08-04T14:09:22,0,80,0,80
2023-08-04T14:21:59,0,80,0,80
2023-08-04T14:34:48,0,80,0,80
2023-08-04T14:47:24,0,80,0,80
2023-08-04T15:00:00,0,80,0,80
2023-08-04T15:12:54,0,80,0,80
2023-08-04T15:25:38,0,80,0,80
2023-08-04T15:38:14,0,80,0,80
2023-08-04T15:50:50,0,80,0,80
2023-08-04T16:03:26,0,80,0,80
2023-08-04T16:16:01,0,80,0,80
2023-08-04T16:28:48,0,80,0,80
2023-08-04T16:41:25,0,80,0,80
2023-08-04T16:54:00,0,80,0,80
2023-08-04T17:06:37,0,80,0,80
2023-08-04T17:19:14,0,80,0,80
2023-08-04T17:31:49,0,80,0,80
2023-08-04T17:44:24,0,80,0,80
2023-08-04T17:57:00,0,80,0,80
2023-08-04T18:09:36,0,80,0,80
2023-08-04T18:22:11,0,80,0,80
2023-08-04T18:34:47,0,80,0,80
2023-08-04T18:47:41,0,80,0,80
2023-08-04T19:00:15,0,80,0,80
2023-08-04T19:12:52,0,80,0,80
2023-08-04T19:25:27,0,80,0,80
2023-08-04T19:38:02,0,80,0,80
2023-08-04T19:50:39,0,80,0,80
2023-08-04T20:03:15,0,80,0,80
2023-08-04T20:15:51,0,80,0,80
2023-08-04T20:28:26,0,80,0,80
2023-08-04T20:41:02,0,80,0,80
2023-08-04T20:53:49,0,80,0,80
2023-08-04T21:06:25,0,80,0,80
2023-08-04T21:19:00,0,80,0,80
2023-08-04T21:31:36,0,80,0,80
2023-08-04T21:44:11,0,80,0,80
2023-08-04T21:56:47,0,80,0,80
2023-08-04T22:09:22,0,80,0,80
2023-08-04T22:21:57,0,80,0,80
2023-08-04T22:34:34,0,80,0,80
2023-08-04T22:47:09,0,80,0,80
2023-08-04T22:59:44,0,80,0,80
2023-08-04T23:12:23,0,80,0,80
2023-08-04T23:24:59,0,80,0,80
2023-08-04T23:37:45,0,80,0,80
2023-08-04T23:50:21,0,80,0,80
2023-08-05T00:02:59,0,80,0,80
2023-08-05T00:15:41,0,80,0,80
2023-08-05T00:28:21,0,80,0,80
2023-08-05T00:41:01,0,80,0,80
2023-08-05T00:53:42,0,80,0,80
2023-08-05T01:06:22,0,80,0,80
2023-08-05T01:19:01,0,80,0,80
2023-08-05T01:31:42,0,80,0,80
2023-08-05T01:44:23,0,80,0,80
2023-08-05T01:57:05,0,80,0,80
2023-08-05T02:09:42,0,80,0,80
2023-08-05T02:22:19,0,80,0,80
2023-08-05T02:34:59,0,80,0,80
2023-08-05T02:47:54,0,80,0,80
2023-08-05T03:00:30,0,80,0,80
2023-08-05T03:13:07,0,80,0,80
2023-08-05T03:25:46,0,80,0,80
2023-08-05T03:38:23,0,80,0,80
2023-08-05T03:51:01,0,80,0,80
2023-08-05T04:03:40,0,80,0,80
2023-08-05T04:24:48,0,80,0,80
2023-08-05T04:37:29,0,80,0,80
2023-08-05T04:50:10,0,80,0,80
2023-08-05T05:02:48,0,80,0,80
2023-08-05T05:15:24,0,80,0,80
2023-08-05T05:27:59,0,80,0,80
2023-08-05T05:40:38,0,80,0,80
2023-08-05T05:53:38,0,80,0,80
2023-08-05T06:06:18,0,80,0,80
2023-08-05T06:18:57,0,80,0,80
2023-08-05T06:31:36,0,80,0,80
2023-08-05T06:44:15,0,80,0,80
2023-08-05T06:56:55,0,80,0,80
2023-08-05T07:09:33,0,80,0,80
2023-08-05T07:22:12,0,80,0,80
2023-08-05T07:34:50,0,80,0,80
2023-08-05T07:47:31,0,80,0,80
2023-08-05T08:00:11,0,80,0,80
2023-08-05T08:12:50,0,80,0,80
2023-08-05T08:25:38,0,80,0,80
2023-08-05T08:38:17,0,80,0,80
2023-08-05T08:50:56,0,80,0,80
2023-08-05T09:03:34,0,80,0,80
2023-08-05T09:16:12,0,80,0,80
2023-08-05T09:28:51,0,80,0,80
2023-08-05T09:41:29,0,80,0,80
2023-08-05T09:54:08,0,80,0,80
2023-08-05T10:06:46,0,80,0,80
2023-08-05T10:19:25,0,80,0,80
2023-08-05T10:32:04,0,80,0,80
2023-08-05T10:44:42,0,80,0,80
2023-08-05T10:57:31,0,80,0,80
2023-08-05T11:10:09,0,80,0,80
2023-08-05T11:22:47,0,80,0,80
2023-08-05T11:35:25,0,80,0,80
2023-08-05T11:48:02,0,80,0,80
2023-08-05T12:00:40,0,80,0,80
2023-08-05T12:13:17,0,80,0,80
2023-08-05T12:25:59,0,80,0,80
2023-08-05T12:38:36,0,80,0,80
2023-08-05T12:51:11,0,80,0,80
2023-08-05T13:03:46,0,80,0,80
2023-08-05T13:16:21,0,80,0,80
2023-08-05T13:29:05,0,80,0,80
2023-08-05T13:41:41,0,80,0,80
2023-08-05T13:54:16,0,80,0,80
2023-08-05T14:06:51,0,80,0,80
2023-08-05T14:19:27,0,80,0,80
2023-08-05T14:32:02,0,80,0,80
2023-08-05T14:44:38,0,80,0,80
2023-08-05T14:57:14,0,80,0,80
2023-08-05T15:09:49,0,80,0,80
2023-08-05T15:22:24,0,80,0,80
2023-08-05T15:35:00,0,80,0,80
2023-08-05T15:47:36,0,80,0,80
2023-08-05T16:00:11,0,80,0,80
2023-08-05T16:12:45,0,80,0,80
2023-08-05T16:25:30,0,80,0,80
2023-08-05T16:38:05,0,80,0,80
2023-08-05T16:50:40,0,80,0,80
2023-08-05T17:03:16,0,80,0,80
2023-08-05T17:15:52,0,80,0,80
2023-08-05T17:28:28,0,80,0,80
2023-08-05T17:41:03,0,80,0,80
2023-08-05T17:53:38,0,80,0,80
2023-08-05T18:06:14,0,80,0,80
2023-08-05T18:18:49,0,80,0,80
2023-08-05T18:31:24,0,80,0,80
2023-08-05T18:44:00,0,80,0,80
2023-08-05T18:56:35,0,80,0,80
2023-08-05T19:09:22,0,80,0,80
2023-08-05T19:21:58,0,80,0,80
2023-08-05T19:34:33,0,80,0,80
2023-08-05T19:47:08,0,80,0,80
2023-08-05T19:59:43,0,80,0,80
2023-08-05T20:12:18,0,80,0,80
2023-08-05T20:24:54,0,80,0,80
2023-08-05T20:37:29,0,80,0,80
2023-08-05T20:50:04,0,80,0,80
2023-08-05T21:02:40,0,80,0,80
2023-08-05T21:15:15,0,80,0,80
2023-08-05T21:27:50,0,80,0,80
2023-08-05T21:40:25,0,80,0,80
2023-08-05T21:53:01,0,80,0,80
2023-08-05T22:05:36,0,80,0,80
2023-08-05T22:18:21,0,80,0,80
2023-08-05T22:30:57,0,80,0,80
2023-08-05T22:43:32,0,80,0,80
2023-08-05T22:56:08,0,80,0,80
2023-08-05T23:08:46,0,80,0,80
2023-08-05T23:21:22,0,80,0,80
2023-08-05T23:33:58,0,80,0,80
2023-08-05T23:46:33,0,80,0,80
2023-08-05T23:59:08,0,80,0,80
2023-08-06T00:11:45,0,80,0,80
2023-08-06T00:24:25,0,80,0,80
2023-08-06T00:37:03,0,80,0,80
2023-08-06T00:49:40,0,80,0,80
2023-08-06T01:02:21,0,80,0,80
2023-08-06T01:15:01,0,80,0,80
2023-08-06T01:27:42,0,80,0,80
2023-08-06T01:40:23,0,80,0,80
2023-08-06T01:53:13,0,80,0,80
2023-08-06T02:06:03,0,80,0,80
2023-08-06T02:18:43,0,80,0,80
2023-08-06T02:31:24,0,80,0,80
2023-08-06T02:44:03,0,80,0,80
2023-08-06T02:56:42,0,80,0,80
2023-08-06T03:09:21,0,80,0,80
2023-08-06T03:21:59,0,80,0,80
2023-08-06T03:34:39,0,80,0,80
2023-08-06T03:47:18,0,80,0,80
2023-08-06T03:59:57,0,80,0,80
2023-08-06T04:12:37,0,80,0,80
2023-08-06T04:30:34,0,80,0,80
2023-08-06T04:43:16,0,80,0,80
2023-08-06T04:55:57,0,80,0,80
2023-08-06T05:08:40,0,80,0,80
2023-08-06T05:21:19,0,80,0,80
2023-08-06T05:33:59,0,80,0,80
2023-08-06T05:46:39,0,80,0,80
2023-08-06T05:59:18,0,80,0,80
2023-08-06T06:11:58,0,80,0,80
2023-08-06T06:24:36,0,80,0,80
2023-08-06T06:37:16,0,80,0,80
2023-08-06T06:49:54,0,80,0,80
2023-08-06T07:02:32,0,80,0,80
2023-08-06T07:15:09,0,80,0,80
2023-08-06T07:27:45,0,80,0,80
2023-08-06T07:40:21,0,80,0,80
2023-08-06T07:53:00,0,80,0,80
2023-08-06T08:05:40,0,80,0,80
2023-08-06T08:18:17,0,80,0,80
2023-08-06T08:30:54,0,80,0,80
2023-08-06T08:43:30,0,80,0,80
2023-08-06T08:56:08,0,80,0,80
2023-08-06T09:08:44,0,80,0,80
2023-08-06T09:21:21,0,80,0,80
2023-08-06T09:33:59,0,80,0,80
2023-08-06T09:46:36,0,80,0,80
2023-08-06T09:59:14,0,80,0,80
2023-08-06T10:12:02,0,80,0,80
2023-08-06T10:24:38,0,80,0,80
2023-08-06T10:37:14,0,80,0,80
2023-08-06T10:49:51,0,80,0,80
2023-08-06T11:02:28,0,80,0,80
2023-08-06T11:15:07,0,80,0,80
2023-08-06T11:27:44,0,80,0,80
2023-08-06T11:40:21,0,80,0,80
2023-08-06T11:52:58,0,80,0,80
2023-08-06T12:05:36,0,80,0,80
2023-08-06T12:18:12,0,80,0,80
2023-08-06T12:30:48,0,80,0,80
2023-08-06T12:43:24,0,80,0,80
2023-08-06T12:56:17,0,80,0,80
2023-08-06T13:08:53,0,80,0,80
2023-08-06T13:21:28,0,80,0,80
2023-08-06T13:34:03,0,80,0,80
2023-08-06T13:46:39,0,80,0,80
2023-08-06T13:59:13,0,80,0,80
2023-08-06T14:11:48,0,80,0,80
