time,enrolled,available,waitlisted,total
2023-08-08T16:01:09,0,0,0,0
2023-08-08T16:13:45,0,0,0,0
2023-08-08T16:26:23,0,0,0,0
2023-08-08T16:39:10,0,0,0,0
2023-08-08T16:51:47,0,0,0,0
2023-08-08T17:04:24,0,0,0,0
2023-08-08T17:17:01,0,0,0,0
2023-08-08T17:29:38,0,0,0,0
2023-08-08T17:42:14,0,0,0,0
2023-08-08T17:55:12,0,0,0,0
2023-08-08T18:07:48,0,0,0,0
2023-08-08T18:20:26,0,0,0,0
2023-08-08T18:33:02,0,0,0,0
2023-08-08T18:45:39,0,0,0,0
2023-08-08T18:58:16,0,0,0,0
2023-08-08T19:10:55,0,0,0,0
2023-08-08T19:23:32,0,0,0,0
2023-08-08T19:36:20,0,0,0,0
2023-08-08T19:48:58,0,0,0,0
2023-08-08T20:01:37,0,0,0,0
2023-08-08T20:14:14,0,0,0,0
2023-08-08T20:26:50,0,0,0,0
2023-08-08T20:39:27,0,0,0,0
2023-08-08T20:52:04,0,0,0,0
2023-08-08T21:04:40,0,0,0,0
2023-08-08T21:17:28,0,0,0,0
2023-08-08T21:30:05,0,0,0,0
2023-08-08T21:42:42,0,0,0,0
2023-08-08T21:55:19,0,0,0,0
2023-08-08T22:07:56,0,0,0,0
2023-08-08T22:20:33,0,0,0,0
2023-08-08T22:33:09,0,0,0,0
2023-08-08T22:45:46,0,0,0,0
2023-08-08T22:58:33,0,0,0,0
2023-08-08T23:11:13,0,0,0,0
2023-08-08T23:23:51,0,0,0,0
2023-08-08T23:36:29,0,0,0,0
2023-08-08T23:49:06,0,0,0,0
2023-08-09T00:01:44,0,0,0,0
2023-08-09T00:14:27,0,0,0,0
2023-08-09T00:27:05,0,0,0,0
2023-08-09T00:39:42,0,0,0,0
2023-08-09T00:52:19,0,0,0,0
2023-08-09T01:05:11,0,0,0,0
2023-08-09T01:17:49,0,0,0,0
2023-08-09T01:30:26,0,0,0,0
2023-08-09T01:43:02,0,0,0,0
2023-08-09T01:55:39,0,0,0,0
2023-08-09T02:08:18,0,0,0,0
2023-08-09T02:20:57,0,0,0,0
2023-08-09T02:33:36,0,0,0,0
2023-08-09T02:46:13,0,0,0,0
2023-08-09T02:58:51,0,0,0,0
2023-08-09T03:11:31,0,0,0,0
2023-08-09T03:24:11,0,0,0,0
2023-08-09T03:36:51,0,0,0,0
2023-08-09T03:49:32,0,0,0,0
2023-08-09T04:02:23,0,0,0,0
2023-08-09T04:29:53,0,0,0,0
2023-08-09T04:42:36,0,0,0,0
2023-08-09T04:55:16,0,0,0,0
2023-08-09T05:07:58,0,0,0,0
2023-08-09T05:20:37,0,0,0,0
2023-08-09T05:33:18,0,0,0,0
