time,enrolled,available,waitlisted,total
2023-08-18T08:52:34,0,0,0,0
2023-08-18T09:05:14,0,0,0,0
2023-08-18T09:17:53,0,0,0,0
2023-08-18T09:30:33,0,0,0,0
2023-08-18T09:43:24,0,0,0,0
2023-08-18T09:56:03,0,0,0,0
2023-08-18T10:08:43,0,0,0,0
2023-08-18T10:21:23,0,0,0,0
2023-08-18T10:34:03,0,0,0,0
2023-08-18T10:46:43,0,0,0,0
2023-08-18T10:59:22,0,0,0,0
2023-08-18T11:12:02,0,0,0,0
2023-08-18T11:24:41,0,0,0,0
2023-08-18T11:37:32,0,0,0,0
2023-08-18T11:50:13,0,0,0,0
2023-08-18T12:02:52,0,0,0,0
2023-08-18T12:15:32,0,0,0,0
2023-08-18T12:28:11,0,0,0,0
2023-08-18T12:40:50,0,0,0,0
2023-08-18T12:53:30,0,0,0,0
2023-08-18T13:06:09,0,60,0,60
2023-08-18T13:18:48,0,60,0,60
2023-08-18T13:31:39,1,59,0,60
2023-08-18T13:44:19,2,58,0,60
2023-08-18T13:56:59,3,57,0,60
2023-08-18T14:09:39,4,56,0,60
2023-08-18T14:22:18,5,55,0,60
2023-08-18T14:34:58,5,55,0,60
2023-08-18T14:47:38,5,55,0,60
2023-08-18T15:00:18,5,55,0,60
2023-08-18T15:12:57,5,55,0,60
2023-08-18T15:25:37,5,55,0,60
2023-08-18T15:38:27,5,55,0,60
2023-08-18T15:51:07,5,55,0,60
2023-08-18T16:03:47,5,55,0,60
2023-08-18T16:16:28,5,55,0,60
2023-08-18T16:29:08,5,55,0,60
2023-08-18T16:41:48,5,55,0,60
2023-08-18T16:54:27,5,55,0,60
2023-08-18T17:07:06,6,54,0,60
2023-08-18T17:19:46,6,54,0,60
2023-08-18T17:32:26,6,54,0,60
2023-08-18T17:45:17,6,54,0,60
2023-08-18T17:57:58,6,54,0,60
2023-08-18T18:10:37,6,54,0,60
2023-08-18T18:23:16,6,54,0,60
2023-08-18T18:35:56,6,54,0,60
2023-08-18T18:48:36,6,54,0,60
2023-08-18T19:01:16,6,54,0,60
2023-08-18T19:13:56,6,54,0,60
2023-08-18T19:26:37,6,54,0,60
2023-08-18T19:39:17,6,54,0,60
2023-08-18T19:51:57,6,54,0,60
2023-08-18T20:04:36,6,54,0,60
2023-08-18T20:17:26,6,54,0,60
2023-08-18T20:30:07,6,54,0,60
2023-08-18T20:42:47,6,54,0,60
2023-08-18T20:55:28,6,54,0,60
2023-08-18T21:08:07,6,54,0,60
2023-08-18T21:20:48,6,54,0,60
2023-08-18T21:33:28,7,53,0,60
2023-08-18T21:46:07,7,53,0,60
2023-08-18T21:58:48,7,53,0,60
2023-08-18T22:11:28,7,53,0,60
2023-08-18T22:24:09,7,53,0,60
